user_id,history_indices
User_1,"[1639, 16049, 18024, 48598]"
User_2,"[6717, 9144, 35741, 44348, 48265, 48540]"
User_3,"[1952, 2082, 27651, 38698]"
User_4,"[14328, 15247, 33118, 39453]"
User_5,"[13031, 36781, 46925]"
User_6,"[425, 10463, 14446, 18231, 29439, 38618, 49729, 52810, 53046]"
User_7,"[6078, 6698, 10189, 14110, 18210, 22059, 22298, 24898, 50036]"
User_8,"[17335, 22541, 23526, 39565]"
User_9,"[30108, 35142, 47823]"
User_10,"[5164, 19213, 24807, 36178]"
User_11,"[3003, 4558, 12601, 14935, 37837, 43336, 46174, 50663]"
User_12,"[5229, 6619, 15256, 18217, 24911, 29714, 41660]"
User_13,"[10659, 13730, 17496, 23283, 24260, 43920, 44796, 45994]"
User_14,"[11215, 35005, 39920, 41613]"
User_15,"[10708, 17691, 24867, 30294, 41943, 45099]"
User_16,"[3665, 15010, 21252, 44866, 50352, 50855]"
User_17,"[20673, 26290, 52759]"
User_18,"[4337, 13826, 13934, 20622, 37170, 42954, 47049]"
User_19,"[9150, 9363, 16162, 17359, 25928, 30071, 35322, 36789, 42129, 48823]"
User_20,"[14373, 23723, 26175, 28077, 38242, 38311, 48956]"
User_21,"[3087, 5957, 32343, 33392, 49530]"
User_22,"[10016, 10484, 41120, 51909]"
User_23,"[4163, 16476, 25009, 25216, 30674, 34676, 36256, 39052, 39086]"
User_24,"[7507, 44583, 47233]"
User_25,"[7310, 10365, 19234, 22293, 28492, 42006, 50370]"
User_26,"[212, 6973, 11708, 17261, 32806, 33271, 40979, 47164, 47323, 49935]"
User_27,"[10016, 13035, 24504, 33270, 39909, 41874, 49971]"
User_28,"[37, 34757, 35348, 39252, 51028]"
User_29,"[1276, 3796, 7331, 15692, 20153, 23788, 32021, 52872]"
User_30,"[5161, 5613, 31849, 37182, 47966, 53478]"
User_31,"[8241, 34911, 49846, 50189]"
User_32,"[10821, 17370, 31148, 36031, 43237]"
User_33,"[13182, 13880, 20428, 26148, 35343, 45211, 46723, 47836, 49497]"
User_34,"[4196, 7930, 14725, 16246, 22156, 28711, 29588, 33919]"
User_35,"[15080, 36301, 38555]"
User_36,"[471, 3858, 4652, 15003, 41359, 46389]"
User_37,"[2058, 4643, 21654, 33695]"
User_38,"[8671, 14040, 18250, 31812, 35339, 43842]"
User_39,"[6181, 6352, 12478, 15925, 26677, 28249, 30996, 43187, 51420, 52920]"
User_40,"[3550, 26941, 27759, 30606, 42348, 42824, 44129, 47780]"
User_41,"[3972, 22236, 26386, 47724]"
User_42,"[12465, 12556, 16295, 35146]"
User_43,"[4940, 9186, 12025, 16371, 18254, 27648, 29041, 30318, 36066, 52954]"
User_44,"[967, 3315, 35427, 42738]"
User_45,"[10899, 15491, 26634, 49385]"
User_46,"[141, 3842, 10789, 14008, 17380, 24836, 25586, 26282, 31546, 51384]"
User_47,"[10144, 18694, 27722, 31894, 36422, 43376, 45651, 47081, 47874, 51338]"
User_48,"[3832, 14267, 19445, 35533, 37957, 48217]"
User_49,"[3746, 20552, 49019]"
User_50,"[31246, 32954, 38284]"
User_51,"[3727, 4490, 5250, 12178, 33281]"
User_52,"[7856, 15414, 26461, 44250]"
User_53,"[2604, 5372, 27474, 37940, 38962, 40591]"
User_54,"[13386, 15642, 17089, 17407, 20590, 25938, 43891, 46936]"
User_55,"[19660, 20720, 29964, 42303, 44019]"
User_56,"[610, 30034, 36896, 40708]"
User_57,"[4801, 13969, 33153, 35234]"
User_58,"[4508, 8680, 10338, 16009, 18676, 22872, 24217]"
User_59,"[512, 19825, 34664, 35600, 36346, 40086, 42858, 43769, 46107, 52894]"
User_60,"[6788, 7014, 7564, 8800, 17332, 43475, 48655]"
User_61,"[13803, 17848, 18465, 39638, 47029]"
User_62,"[3329, 13342, 16457, 17300, 32016, 33122, 41565, 45055]"
User_63,"[2889, 18132, 27759, 41568]"
User_64,"[8573, 21859, 50536]"
User_65,"[10589, 28028, 28956, 36154, 36759, 46246, 48577]"
User_66,"[4931, 7331, 45286]"
User_67,"[2361, 24196, 35755, 36210, 38175]"
